dt,open,high,low,close
2017-09-08 17:00:00,4416.15,4425.55,4301.03,4335.35
2017-09-08 18:00:00,4335.44,4388.9,4323.51,4343.1
2017-09-08 19:00:00,4340.24,4348.98,4201.97,4201.97
2017-09-08 20:00:00,4201.97,4267.0,4140.0,4249.99
2017-09-08 21:00:00,4249.98,4250.0,4151.0,4208.11
2017-09-08 22:00:00,4208.11,4360.0,4205.0,4345.68
2017-09-08 23:00:00,4346.49,4398.86,4325.06,4350.0
2017-09-09 00:00:00,4350.0,4370.0,4294.7,4355.99
2017-09-09 01:00:00,4359.0,4400.0,4250.0,4290.58
2017-09-09 02:00:00,4290.59,4338.1,4253.71,4338.1
2017-09-09 03:00:00,4338.07,4372.99,4336.0,4353.31
2017-09-09 04:00:00,4353.04,4372.98,4299.45,4372.98
2017-09-09 05:00:00,4372.98,4437.13,4372.48,4437.13
2017-09-09 06:00:00,4437.13,4437.13,4420.96,4431.47
2017-09-09 07:00:00,4431.47,4449.95,4377.0,4399.0
2017-09-09 08:00:00,4399.0,4414.58,4364.01,4371.98
2017-09-09 09:00:00,4371.98,4419.0,4367.63,4415.48
2017-09-09 10:00:00,4415.48,4419.0,4390.0,4390.1
2017-09-09 11:00:00,4390.1,4395.01,4362.9,4377.01
2017-09-09 12:00:00,4377.01,4389.75,4357.6,4358.95
2017-09-09 13:00:00,4358.95,4360.99,4295.47,4306.47
2017-09-09 14:00:00,4306.59,4315.19,4270.62,4300.11
2017-09-09 15:00:00,4300.11,4309.99,4280.0,4294.5
2017-09-09 16:00:00,4294.51,4309.99,4292.18,4298.41
2017-09-09 17:00:00,4298.42,4298.42,4241.0,4273.57
2017-09-09 18:00:00,4273.57,4273.57,4200.05,4205.03
2017-09-09 19:00:00,4205.01,4309.98,4180.0,4291.04
2017-09-09 20:00:00,4295.89,4301.01,4280.06,4285.93
2017-09-09 21:00:00,4285.93,4295.5,4273.88,4279.89
2017-09-09 22:00:00,4279.89,4340.06,4278.04,4335.0
2017-09-09 23:00:00,4335.0,4350.0,4316.0,4334.36
2017-09-10 00:00:00,4334.36,4334.36,4300.47,4309.72
2017-09-10 01:00:00,4309.72,4314.98,4285.0,4309.97
2017-09-10 02:00:00,4309.97,4309.97,4238.14,4249.43
2017-09-10 03:00:00,4249.5,4274.98,4235.19,4247.01
2017-09-10 04:00:00,4247.01,4281.15,4247.0,4256.28
2017-09-10 05:00:00,4256.26,4258.01,4210.0,4213.64
2017-09-10 06:00:00,4213.64,4214.09,4150.0,4151.0
2017-09-10 07:00:00,4151.0,4235.0,4150.0,4218.89
2017-09-10 08:00:00,4218.22,4266.88,4205.5,4240.21
2017-09-10 09:00:00,4240.2,4240.21,4198.25,4198.43
2017-09-10 10:00:00,4200.01,4200.01,4150.12,4192.07
2017-09-10 11:00:00,4192.08,4260.0,4156.11,4259.9
2017-09-10 12:00:00,4259.99,4259.99,4215.15,4238.76
2017-09-10 13:00:00,4238.76,4249.0,4160.0,4180.0
2017-09-10 14:00:00,4180.56,4197.0,4139.0,4196.99
2017-09-10 15:00:00,4196.99,4197.77,4180.04,4186.55
2017-09-10 16:00:00,4188.54,4278.12,4177.64,4275.64
2017-09-10 17:00:00,4275.65,4349.99,4273.0,4337.14
2017-09-10 18:00:00,4337.15,4338.07,4301.26,4330.16
2017-09-10 19:00:00,4331.58,4338.05,4315.0,4329.45
2017-09-10 20:00:00,4329.45,4329.45,4289.43,4289.43
2017-09-10 21:00:00,4289.01,4289.01,4253.64,4257.25
2017-09-10 22:00:00,4256.66,4301.45,4255.91,4285.01
2017-09-10 23:00:00,4285.01,4289.0,4240.0,4251.36
2017-09-11 00:00:00,4251.36,4271.47,4220.0,4233.56
2017-09-11 01:00:00,4233.56,4320.99,4231.55,4317.01
2017-09-11 02:00:00,4317.01,4325.0,4301.32,4303.47
2017-09-11 03:00:00,4303.47,4365.0,4303.46,4347.57
2017-09-11 04:00:00,4347.58,4347.58,4156.0,4199.99
2017-09-11 05:00:00,4200.0,4221.0,4111.14,4160.02
2017-09-11 06:00:00,4160.02,4222.0,4133.34,4172.7
2017-09-11 07:00:00,4172.61,4213.52,4158.87,4182.63
2017-09-11 08:00:00,4182.36,4182.69,4132.13,4167.03
2017-09-11 09:00:00,4167.04,4212.0,4167.03,4183.26
2017-09-11 10:00:00,4183.22,4206.08,4171.71,4193.99
2017-09-11 11:00:00,4192.23,4204.96,4160.02,4190.67
2017-09-11 12:00:00,4190.67,4202.0,4185.0,4202.0
2017-09-11 13:00:00,4202.0,4298.0,4179.52,4259.33
2017-09-11 14:00:00,4259.44,4271.04,4236.45,4247.77
2017-09-11 15:00:00,4247.78,4250.0,4220.0,4235.59
2017-09-11 16:00:00,4235.59,4261.61,4235.58,4261.61
2017-09-11 17:00:00,4261.61,4272.39,4218.13,4219.0
2017-09-11 18:00:00,4219.0,4229.0,4205.0,4226.78
2017-09-11 19:00:00,4226.78,4227.61,4175.01,4199.14
